Epoch,Generator Loss,Discriminator Loss
1,1595.691650390625,137.79136657714844
2,23744.75,4285.77783203125
3,85669.984375,202.37448120117188
4,222245.125,65853.7109375
5,191968.65625,24360.73046875
6,554957.125,2280.51171875
7,1499984.25,7687.23583984375
8,6751150.5,65404.78125
9,63141240.0,3718722.0
10,1517293.0,76486.2109375
11,3005455.5,634.3634033203125
